energy (MeV),pC/MeV,pC/MeV norm,CDF
7.13110906,497.979438,0.000667728,0.560233411
7.142276836,497.2687583,0.000666775,0.560900187
7.153444612,496.559137,0.000665824,0.56156601
7.164612389,495.8505726,0.000664874,0.562230884
7.175780165,495.1430634,0.000663925,0.562894809
7.186947941,494.4366079,0.000662978,0.563557786
7.198115717,493.7312044,0.000662032,0.564219818
7.209283493,493.0268515,0.000661087,0.564880905
7.220451269,492.3235474,0.000660144,0.565541049
7.231619045,491.6212907,0.000659203,0.566200252
7.242786821,490.9200797,0.000658262,0.566858514
7.253954597,490.2199128,0.000657324,0.567515838
7.265122373,489.5207886,0.000656386,0.568172224
7.276290149,488.8227054,0.00065545,0.568827674
7.287457925,488.1256617,0.000654515,0.56948219
7.298625701,487.4296558,0.000653582,0.570135772
7.309793477,486.7346863,0.00065265,0.570788422
7.320961253,486.0407516,0.00065172,0.571440142
7.33212903,485.3478501,0.000650791,0.572090933
7.343296806,484.6559802,0.000649863,0.572740796
7.354464582,483.9651405,0.000648937,0.573389732
7.365632358,483.2753293,0.000648012,0.574037744
7.376800134,482.5865451,0.000647088,0.574684832
7.38796791,481.8987864,0.000646166,0.575330998
7.399135686,481.2120516,0.000645245,0.575976243
7.410303462,480.5263391,0.000644326,0.576620569
7.421471238,479.8416475,0.000643408,0.577263977
7.432639014,479.1579752,0.000642491,0.577906467
7.44380679,478.4753207,0.000641576,0.578548043
7.454974566,477.7936824,0.000640662,0.579188704
7.466142342,477.1130588,0.000639749,0.579828453
7.477310118,476.4334483,0.000638838,0.580467291
7.488477894,475.7548495,0.000637928,0.581105219
7.499645671,475.0772608,0.000637019,0.581742238
7.510813447,474.4006808,0.000636112,0.58237835
7.521981223,473.7251078,0.000635206,0.583013556
7.533148999,473.0505404,0.000634302,0.583647857
7.544316775,472.376977,0.000633398,0.584281256
7.555484551,471.7044162,0.000632497,0.584913752
7.566652327,471.0328564,0.000631596,0.585545348
7.577820103,470.3622961,0.000630697,0.586176045
7.588987879,469.6927339,0.000629799,0.586805845
7.600155655,469.0241681,0.000628903,0.587434747
7.611323431,468.3565974,0.000628008,0.588062755
7.622491207,467.6900202,0.000627114,0.588689869
7.633658983,467.024435,0.000626221,0.58931609
7.644826759,466.3598404,0.00062533,0.58994142
7.655994535,465.6962348,0.00062444,0.59056586
7.667162312,465.0336167,0.000623552,0.591189412
7.678330088,464.3719847,0.000622665,0.591812077
7.689497864,463.7113373,0.000621779,0.592433856
7.70066564,463.051673,0.000620894,0.59305475
7.711833416,462.3929903,0.000620011,0.593674761
7.723001192,461.7352877,0.000619129,0.594293891
7.734168968,461.0785638,0.000618249,0.594912139
7.745336744,460.422817,0.000617369,0.595529509
7.75650452,459.768046,0.000616491,0.596146
7.767672296,459.1142493,0.000615615,0.596761615
7.778840072,458.4614253,0.000614739,0.597376354
7.790007848,457.8095726,0.000613865,0.597990219
7.801175624,457.1586898,0.000612993,0.598603212
7.8123434,456.5087754,0.000612121,0.599215333
7.823511176,455.8598279,0.000611251,0.599826584
7.834678953,455.2118459,0.000610382,0.600436966
7.845846729,454.5648279,0.000609515,0.601046481
7.857014505,453.9187725,0.000608648,0.601655129
7.868182281,453.2736783,0.000607783,0.602262912
7.879350057,452.6295437,0.00060692,0.602869832
7.890517833,451.9863673,0.000606057,0.603475889
7.901685609,451.3441477,0.000605196,0.604081085
7.912853385,450.7028835,0.000604336,0.604685421
7.924021161,450.0625732,0.000603478,0.605288899
7.935188937,449.4232154,0.00060262,0.605891519
7.946356713,448.7848086,0.000601764,0.606493283
7.957524489,448.1473514,0.00060091,0.607094193
7.968692265,447.5108424,0.000600056,0.607694249
7.979860041,446.8752802,0.000599204,0.608293453
7.991027817,446.2406632,0.000598353,0.608891806
8.002195594,445.6069902,0.000597503,0.609489309
8.01336337,444.9742597,0.000596655,0.610085964
8.024531146,444.3424703,0.000595808,0.610681771
8.035698922,443.7116205,0.000594962,0.611276733
8.046866698,443.0817089,0.000594117,0.61187085
8.058034474,442.4527341,0.000593274,0.612464124
8.06920225,441.8246948,0.000592432,0.613056555
8.080370026,441.1975895,0.000591591,0.613648146
8.091537802,440.5714167,0.000590751,0.614238897
8.102705578,439.9461752,0.000589913,0.61482881
8.113873354,439.3218635,0.000589076,0.615417886
8.12504113,438.6984801,0.00058824,0.616006125
8.136208906,438.0760237,0.000587405,0.61659353
8.147376682,437.454493,0.000586572,0.617180102
8.158544458,436.8338864,0.00058574,0.617765842
8.169712234,436.2142027,0.000584909,0.61835075
8.180880011,435.5954404,0.000584079,0.618934829
8.192047787,434.9775981,0.000583251,0.61951808
8.203215563,434.3606745,0.000582423,0.620100503
8.214383339,433.7446682,0.000581597,0.6206821
8.225551115,433.1295777,0.000580773,0.621262873
8.236718891,432.5154018,0.000579949,0.621842822
8.247886667,431.902139,0.000579127,0.622421949
8.259054443,431.2897879,0.000578306,0.623000254
8.270222219,430.6783473,0.000577486,0.62357774
8.281389995,430.0678156,0.000576667,0.624154407
8.292557771,429.4581916,0.00057585,0.624730257
8.303725547,428.8494739,0.000575033,0.62530529
8.314893323,428.2416611,0.000574218,0.625879509
8.326061099,427.6347519,0.000573405,0.626452914
8.337228875,427.0287449,0.000572592,0.627025506
8.348396652,426.4236387,0.000571781,0.627597286
8.359564428,425.819432,0.000570971,0.628168257
8.370732204,425.2161234,0.000570162,0.628738419
8.38189998,424.6137116,0.000569354,0.629307772
8.393067756,424.0121952,0.000568547,0.62987632
8.404235532,423.4115729,0.000567742,0.630444062
8.415403308,422.8118434,0.000566938,0.631010999
8.426571084,422.2130052,0.000566135,0.631577134
8.43773886,421.6150571,0.000565333,0.632142467
8.448906636,421.0179977,0.000564532,0.632707
8.460074412,420.4218257,0.000563733,0.633270733
8.471242188,419.8265397,0.000562935,0.633833667
8.482409964,419.2321384,0.000562138,0.634395805
8.49357774,418.6386204,0.000561342,0.634957147
8.504745516,418.0459846,0.000560547,0.635517695
8.515913293,417.4542294,0.000559754,0.636077448
8.527081069,416.8633536,0.000558962,0.63663641
8.538248845,416.2733559,0.00055817,0.637194581
8.549416621,415.6842349,0.000557381,0.637751961
8.560584397,415.0959894,0.000556592,0.638308553
8.571752173,414.5086179,0.000555804,0.638864357
8.582919949,413.9221193,0.000555018,0.639419375
8.594087725,413.3364921,0.000554232,0.639973607
8.605255501,412.7517351,0.000553448,0.640527056
8.616423277,412.167847,0.000552665,0.641079721
8.627591053,411.5848264,0.000551884,0.641631605
8.638758829,411.002672,0.000551103,0.642182708
8.649926605,410.4213826,0.000550324,0.642733032
8.661094381,409.8409568,0.000549545,0.643282577
8.672262157,409.2613934,0.000548768,0.643831345
8.683429934,408.682691,0.000547992,0.644379338
8.69459771,408.1048483,0.000547218,0.644926555
8.705765486,407.5278641,0.000546444,0.645472999
8.716933262,406.951737,0.000545671,0.646018671
8.728101038,406.3764659,0.0005449,0.64656357
8.739268814,405.8020492,0.00054413,0.6471077
8.75043659,405.2284859,0.000543361,0.647651061
8.761604366,404.6557746,0.000542593,0.648193654
8.772772142,404.0839141,0.000541826,0.64873548
8.783939918,403.5129029,0.00054106,0.64927654
8.795107694,402.94274,0.000540296,0.649816836
8.80627547,402.3734239,0.000539532,0.650356368
8.817443246,401.8049535,0.00053877,0.650895138
8.828611022,401.2373274,0.000538009,0.651433147
8.839778798,400.6705444,0.000537249,0.651970396
8.850946575,400.1046031,0.00053649,0.652506887
8.862114351,399.5395025,0.000535732,0.653042619
8.873282127,398.9752411,0.000534976,0.653577595
8.884449903,398.4118177,0.00053422,0.654111815
8.895617679,397.849231,0.000533466,0.654645281
8.906785455,397.2874799,0.000532713,0.655177994
8.917953231,396.726563,0.000531961,0.655709955
8.929121007,396.166479,0.00053121,0.656241164
8.940288783,395.6072268,0.00053046,0.656771624
8.951456559,395.0488051,0.000529711,0.657301335
8.962624335,394.4912126,0.000528963,0.657830298
8.973792111,393.9344481,0.000528217,0.658358515
8.984959887,393.3785103,0.000527471,0.658885987
8.996127663,392.8233979,0.000526727,0.659412714
9.007295439,392.2691099,0.000525984,0.659938697
9.018463216,391.7156448,0.000525242,0.660463939
9.029630992,391.1630015,0.000524501,0.66098844
9.040798768,390.6111787,0.000523761,0.6615122
9.051966544,390.0601752,0.000523022,0.662035222
9.06313432,389.5099898,0.000522284,0.662557506
9.074302096,388.9606212,0.000521548,0.663079054
9.085469872,388.4120682,0.000520812,0.663599866
9.096637648,387.8643296,0.000520078,0.664119943
9.107805424,387.3174042,0.000519344,0.664639288
9.1189732,386.7712906,0.000518612,0.665157899
9.130140976,386.2259878,0.000517881,0.66567578
9.141308752,385.6814944,0.000517151,0.666192931
9.152476528,385.1378094,0.000516422,0.666709352
9.163644304,384.5949313,0.000515694,0.667225046
9.17481208,384.0528591,0.000514967,0.667740013
9.185979857,383.5115916,0.000514241,0.668254254
9.197147633,382.9711274,0.000513516,0.66876777
9.208315409,382.4314654,0.000512793,0.669280563
9.219483185,381.8926045,0.00051207,0.669792633
9.230650961,381.3545433,0.000511349,0.670303982
9.241818737,380.8172807,0.000510628,0.67081461
9.252986513,380.2808155,0.000509909,0.671324519
9.264154289,379.7451465,0.000509191,0.67183371
9.275322065,379.2102725,0.000508474,0.672342183
9.286489841,378.6761923,0.000507757,0.672849941
9.297657617,378.1429046,0.000507042,0.673356983
9.308825393,377.6104084,0.000506328,0.673863311
